year,fips7,city_name,opinion_affectweather,opinion_citizens,opinion_congress,opinion_consensus,opinion_corporations,opinion_devharm,opinion_discuss,opinion_exp,opinion_fundrenewables,opinion_futuregen,opinion_generaterenewable,opinion_governor,opinion_happening,opinion_harmplants,opinion_harmus,opinion_human,opinion_localofficials,opinion_personal,opinion_priority,opinion_reducetax,opinion_regulate,opinion_teachgw,opinion_timing,opinion_worried
2015,135896,hoover,,,,39.57,,54.065,,,75.235,59.44,,,61.33,,52.195,46.36,,36.545,,,71.905,,47.705,50.825
2016,135896,hoover,,,,45.14,,60.13,28.29,,79.47,64.88,,,66.66,65.72,56.39,49.72,,39.09,,,73.81,79.77,52.41,54.65
2017,135896,hoover,,,,45.52,,59.71,29.485,,81.2,64.775,,,66.59,66.16,56.85,51.6,,39.525000000000006,,,75.475,80.05,52.045,55.845
2018,135896,hoover,58.47,62.97,60.28,45.9,65.05,59.29,30.68,,82.93,64.67,,58.05,66.52,66.6,57.31,53.48,59.45,39.96,,68.4,77.14,80.33,51.68,57.04
2019,135896,hoover,55.13,62.17,58.28,47.19,66.14,59.21,30.36,,80.99,61.28,,58.2,61.77,64.21,55.69,48.7,59.64,40.84,,66.61,71.63,78.25,49.06,55.69
2020,135896,hoover,60.87,62.44,59.04,52.12,67.59,62.18,30.44,,84.67,64.61,,55.36,66.7,66.36,59.39,52.75,57.25,41.58,49.33,68.52,74.45,78.81,58.02,59.56
2021,135896,hoover,61.4,64.33,60.82,55.99,67.92,65.84,30.98,46.38,76.35,65.83,,60.01,67.76,67.53,63.27,52.0,62.1,46.65,53.71,68.13,72.27,79.42,61.74,63.16
2022,135896,hoover,58.32,60.47,58.11,53.28,65.03,65.03,30.04,44.75,78.77,64.91,79.63,56.6,65.97,66.28,61.0,50.86,58.24,43.61,48.71,68.62,74.22,77.23,60.27,60.12
2023,135896,hoover,59.09,60.67,61.27,53.46,67.27,64.21,30.91,44.31,79.75,65.36,77.75,57.38,68.88,66.64,59.84,51.54,59.04,45.01,53.08,70.17,75.06,77.75,60.94,60.62
2013,137000,huntsville,,,,,,,,,,,,,,,,,,,,,,,,
2014,137000,huntsville,,,,34.0,,46.0,,,74.0,54.0,,,57.0,,45.0,46.0,,31.0,,,71.0,,38.0,45.0
2015,137000,huntsville,,,,39.305,,51.575,,,77.6,59.135,,,61.53,,48.855,48.21,,33.004999999999995,,,72.055,,42.48,48.6
2016,137000,huntsville,,,,44.61,,57.15,30.1,,81.2,64.27,,,66.06,64.49,52.71,50.42,,35.01,,,73.11,75.07,46.96,52.2
2017,137000,huntsville,,,,44.715,,56.58,31.06,,82.275,63.53,,,65.99000000000001,64.50999999999999,52.82,52.64,,35.265,,,74.715,75.60499999999999,46.345,53.67
2018,137000,huntsville,57.82,60.84,58.93,44.82,63.17,56.01,32.02,,83.35,62.79,,55.27,65.92,64.53,52.93,54.86,54.93,35.52,,61.55,76.32,76.14,45.73,55.14
2019,137000,huntsville,53.68,59.57,57.95,46.96,64.38,56.38,31.74,,80.66,59.63,,55.76,61.88,62.55,51.45,51.16,55.38,36.28,,57.36,70.3,73.74,43.09,54.05
2020,137000,huntsville,57.91,58.68,56.48,49.65,65.08,58.44,30.36,,83.83,62.15,,51.17,65.67,64.39,54.46,55.51,52.45,36.11,45.01,59.25,72.94,73.42,51.15,56.88
2021,137000,huntsville,57.31,60.87,56.78,51.58,66.18,61.88,29.77,40.0,76.54,63.79,,55.06,65.87,65.83,57.82,55.47,57.08,40.43,47.77,59.46,69.94,75.06,54.33,58.67
2022,137000,huntsville,54.69,57.44,54.07,49.84,63.52,61.65,30.54,39.38,78.09,63.01,79.27,51.57,63.62,64.8,56.65,55.23,53.53,38.96,43.44,61.3,71.9,72.92,52.92,56.98
2023,137000,huntsville,55.77,57.93,57.44,50.74,65.4,61.15,31.77,38.98,78.96,63.22,77.93,52.37,66.24,65.01,55.18,57.33,54.22,40.54,47.26,63.48,72.71,73.93,52.97,58.17
2013,150000,mobile,,,,,,,,,,,,,,,,,,,,,,,,
2014,150000,mobile,,,,33.0,,47.0,,,73.0,53.0,,,56.0,,47.0,42.0,,33.0,,,71.0,,41.0,46.0
2015,150000,mobile,,,,37.74,,52.49,,,76.47999999999999,57.56,,,59.91,,50.635000000000005,44.86,,35.145,,,72.35,,44.91,48.845
2016,150000,mobile,,,,42.48,,57.98,27.62,,79.96,62.12,,,63.82,62.17,54.27,47.72,,37.29,,,73.7,74.84,48.82,51.69
2017,150000,mobile,,,,41.42,,57.05,28.51,,81.35,61.565,,,63.27,62.575,54.205,49.08,,37.315,,,75.19,75.19,47.995000000000005,52.215
2018,150000,mobile,53.08,56.58,50.46,40.36,61.17,56.12,29.4,,82.74,61.01,,51.53,62.72,62.98,54.14,50.44,54.17,37.34,,62.97,76.68,75.54,47.17,52.74
2019,150000,mobile,50.11,56.15,48.11,42.28,62.58,56.35,28.94,,81.09,57.64,,51.78,58.3,60.56,52.36,46.01,53.83,38.35,,60.93,71.02,72.69,44.52,51.63
2020,150000,mobile,54.65,56.4,49.31,45.89,63.3,58.24,27.49,,84.02,59.7,,48.17,62.65,61.96,55.33,49.72,50.61,38.48,43.83,63.57,73.17,74.11,53.1,54.78
2021,150000,mobile,55.32,58.34,51.9,48.98,63.7,61.46,27.4,42.12,74.93,60.25,,53.96,63.98,62.65,58.56,48.26,56.64,42.97,48.4,62.67,70.34,74.83,55.58,57.73
2022,150000,mobile,50.48,53.23,48.01,44.65,59.74,59.2,25.96,39.79,76.6,58.23,77.47,49.45,60.48,60.18,55.53,46.22,52.14,39.88,42.6,62.84,71.68,71.15,52.7,53.88
2023,150000,mobile,50.2,52.64,50.15,43.11,60.37,57.59,26.42,38.67,77.18,57.3,74.81,49.66,60.74,59.2,53.58,46.98,52.19,40.74,46.17,64.57,72.32,71.37,52.43,53.93
2013,151000,montgomery,,,,,,,,,,,,,,,,,,,,,,,,
2014,151000,montgomery,,,,34.0,,48.0,,,72.0,55.0,,,60.0,,48.0,42.0,,35.0,,,69.0,,43.0,48.0
2015,151000,montgomery,,,,41.095,,56.045,,,76.285,62.1,,,65.94,,54.010000000000005,47.605,,38.625,,,72.0,,49.6,53.52
2016,151000,montgomery,,,,48.19,,64.09,28.89,,80.57,69.2,,,71.88,68.84,60.02,53.21,,42.25,,,75.0,82.26,56.2,59.04
2017,151000,montgomery,,,,48.14,,63.32,29.9,,82.125,68.35,,,72.60499999999999,68.93,60.06,55.055,,42.995000000000005,,,76.47,82.825,55.945,60.39
2018,151000,montgomery,64.17,62.72,62.31,48.09,66.78,62.55,30.91,,83.68,67.5,,60.54,73.33,69.02,60.1,56.9,61.73,43.74,,71.81,77.94,83.39,55.69,61.74
2019,151000,montgomery,60.88,62.56,62.43,48.61,68.72,63.53,30.74,,81.56,64.3,,61.8,68.78,66.71,59.04,52.64,61.98,44.77,,69.75,72.72,81.63,53.73,61.06
2020,151000,montgomery,64.94,62.91,61.71,50.72,69.5,65.1,29.74,,84.97,66.77,,57.14,72.32,68.26,61.83,56.35,59.02,44.74,54.53,71.71,75.25,82.26,61.56,63.31
2021,151000,montgomery,65.31,65.25,63.58,54.59,70.4,69.36,29.48,47.66,78.5,68.29,,63.01,75.12,69.44,66.04,55.48,65.36,49.42,58.67,71.51,73.47,82.69,64.68,66.38
2022,151000,montgomery,59.35,59.9,59.08,49.8,66.17,66.38,28.23,43.48,78.86,65.45,78.72,57.6,70.61,66.28,62.36,52.47,59.56,44.88,51.85,69.74,74.25,78.93,61.42,61.54
2023,151000,montgomery,60.43,59.98,62.0,49.87,67.83,65.69,29.1,42.92,79.8,65.27,76.84,58.2,73.15,66.13,61.38,54.86,60.19,46.31,56.16,71.48,75.21,79.39,61.93,62.8
2013,177256,tuscaloosa,,,,,,,,,,,,,,,,,,,,,,,,
2014,177256,tuscaloosa,,,,30.0,,45.0,,,72.0,52.0,,,55.0,,45.0,39.0,,31.0,,,68.0,,39.0,43.0
2015,177256,tuscaloosa,,,,35.395,,51.13,,,75.555,57.725,,,59.66,,49.005,42.205,,33.68,,,69.36500000000001,,43.38,46.395
2016,177256,tuscaloosa,,,,40.79,,57.26,26.66,,79.11,63.45,,,64.32,63.04,53.01,45.41,,36.36,,,70.73,74.64,47.76,49.79
2017,177256,tuscaloosa,,,,41.015,,56.825,27.895,,80.705,62.93,,,64.845,63.4,53.395,47.705,,37.385,,,72.355,75.14,47.275,51.15
2018,177256,tuscaloosa,55.37,57.64,54.98,41.24,61.15,56.39,29.13,,82.3,62.41,,53.13,65.37,63.76,53.78,50.0,54.67,38.41,,64.67,73.98,75.64,46.79,52.51
2019,177256,tuscaloosa,50.78,56.18,51.95,41.81,61.23,57.04,28.17,,79.75,59.23,,52.28,60.23,61.48,52.05,45.25,54.04,38.89,,62.19,67.03,72.44,43.03,50.79
2020,177256,tuscaloosa,55.07,56.47,51.51,44.8,62.44,58.84,27.82,,83.53,61.71,,48.22,64.14,62.93,55.09,48.43,50.82,38.72,42.65,63.24,70.56,73.7,51.56,53.1
2021,177256,tuscaloosa,56.21,59.03,54.76,48.52,63.54,62.96,27.82,40.4,75.68,63.17,,54.42,66.36,64.15,59.36,49.15,57.01,43.79,46.64,61.78,68.62,75.32,55.04,57.36
2022,177256,tuscaloosa,50.52,54.02,51.09,44.79,59.78,60.7,27.35,38.24,75.55,61.09,76.02,50.12,62.55,62.07,56.8,47.28,52.1,41.47,41.39,60.51,68.83,71.08,52.36,53.59
2023,177256,tuscaloosa,51.21,53.76,53.91,44.54,61.19,59.51,27.63,37.45,76.51,60.66,74.13,50.74,64.86,61.31,55.12,49.2,52.5,41.4,45.16,61.91,69.63,71.06,51.62,54.13
2013,203000,anchorage,,,,,,,,,,,,,,,,,,,,,,,,
2014,203000,anchorage,,,,41.0,,53.0,,,77.0,59.0,,,66.0,,51.0,50.0,,35.0,,,72.0,,43.0,52.0
2015,203000,anchorage,,,,45.39,,58.0,,,79.91499999999999,63.67,,,68.41,,54.125,51.235,,36.61,,,72.175,,46.08,53.69
2016,203000,anchorage,,,,49.78,,63.0,37.69,,82.83,68.34,,,70.82,68.19,57.25,52.47,,38.22,,,72.35,78.25,49.16,55.38
2017,203000,anchorage,,,,51.34,,63.66,39.58,,83.92,69.635,,,71.645,70.02,58.115,54.905,,39.445,,,74.27,78.725,49.5,57.815
2018,203000,anchorage,61.19,64.07,61.42,52.9,69.56,64.32,41.47,,85.01,70.93,,53.0,72.47,71.85,58.98,57.34,54.79,40.67,,65.38,76.19,79.2,49.84,60.25
2019,203000,anchorage,58.52,62.63,58.63,55.33,69.22,63.56,41.54,,84.16,67.34,,52.42,68.67,69.4,57.61,52.12,53.11,41.7,,62.97,70.61,76.21,46.4,58.38
2020,203000,anchorage,64.23,62.3,57.54,59.51,69.53,66.53,40.84,,86.42,70.28,,48.69,73.2,71.82,61.5,56.26,50.69,42.21,53.13,64.83,72.41,76.71,56.1,62.53
2021,203000,anchorage,66.45,64.32,60.3,61.46,70.18,70.18,41.39,47.28,78.16,71.6,,52.57,73.89,72.96,65.27,56.83,56.57,46.91,55.64,64.33,69.85,77.38,59.59,64.93
2022,203000,anchorage,65.64,61.49,58.67,60.03,68.59,70.2,42.24,49.05,79.95,71.84,80.7,51.34,73.79,72.47,64.7,56.73,55.06,46.54,52.07,65.93,71.71,77.03,59.93,63.3
2023,203000,anchorage,67.1,61.7,61.85,60.85,69.95,69.91,44.21,48.96,80.71,71.96,79.51,52.49,76.09,72.5,63.85,58.82,56.38,47.96,56.48,67.64,72.16,76.47,60.62,63.98
2013,404720,avondale,,,,,,,,,,,,,,,,,,,,,,,,
2014,404720,avondale,,,,43.0,,55.0,,,78.0,61.0,,,64.0,,53.0,45.0,,37.0,,,75.0,,44.0,54.0
2015,404720,avondale,,,,45.97,,58.69,,,79.75,64.63,,,66.565,,55.535,48.535,,37.96,,,74.11500000000001,,46.565,55.575
2016,404720,avondale,,,,48.94,,62.38,35.4,,81.5,68.26,,,69.13,66.52,58.07,52.07,,38.92,,,73.23,78.96,49.13,57.15
2017,404720,avondale,,,,48.765,,61.705,36.735,,82.845,67.74000000000001,,,68.78999999999999,66.88499999999999,58.325,53.49,,38.5,,,74.53,78.695,48.5,58.23
2018,404720,avondale,61.07,63.38,59.65,48.59,67.15,61.03,38.07,,84.19,67.22,,51.69,68.45,67.25,58.58,54.91,55.43,38.08,,62.04,75.83,78.43,47.87,59.31
2019,404720,avondale,58.22,61.35,57.16,50.58,67.85,60.63,37.97,,82.1,64.41,,51.09,64.97,64.85,57.05,51.06,52.98,39.79,,59.68,71.25,75.71,44.08,58.06
2020,404720,avondale,62.49,60.04,55.32,53.63,67.8,63.31,37.31,,84.58,67.5,,47.03,69.22,67.78,60.8,55.49,49.12,39.99,47.09,61.22,72.53,76.99,51.94,60.98
2021,404720,avondale,64.0,62.0,57.93,56.37,67.92,66.37,37.17,47.08,75.55,68.16,,53.15,70.13,68.41,64.13,55.48,55.62,44.73,51.85,59.4,70.3,77.71,55.62,64.14
2022,404720,avondale,62.71,58.98,56.67,54.52,66.04,66.1,37.2,46.21,77.58,67.85,81.14,51.25,68.51,68.01,62.91,55.12,53.18,44.15,48.34,62.15,72.61,75.12,54.79,62.85
2023,404720,avondale,63.8,59.2,59.42,54.49,67.27,65.42,37.75,45.57,78.49,67.53,80.09,52.84,70.4,67.84,61.29,56.88,54.74,45.2,52.68,64.3,73.0,74.5,54.65,63.23
2013,412000,chandler,,,,,,,,,,,,,,,,,,,,,,,,
2014,412000,chandler,,,,43.0,,55.0,,,78.0,61.0,,,64.0,,53.0,45.0,,37.0,,,75.0,,44.0,54.0
2015,412000,chandler,,,,45.97,,58.69,,,79.75,64.63,,,66.565,,55.535,48.535,,37.96,,,74.11500000000001,,46.565,55.575
2016,412000,chandler,,,,48.94,,62.38,35.4,,81.5,68.26,,,69.13,66.52,58.07,52.07,,38.92,,,73.23,78.96,49.13,57.15
2017,412000,chandler,,,,48.765,,61.705,36.735,,82.845,67.74000000000001,,,68.78999999999999,66.88499999999999,58.325,53.49,,38.5,,,74.53,78.695,48.5,58.23
2018,412000,chandler,61.07,63.38,59.65,48.59,67.15,61.03,38.07,,84.19,67.22,,51.69,68.45,67.25,58.58,54.91,55.43,38.08,,62.04,75.83,78.43,47.87,59.31
2019,412000,chandler,58.22,61.35,57.16,50.58,67.85,60.63,37.97,,82.1,64.41,,51.09,64.97,64.85,57.05,51.06,52.98,39.79,,59.68,71.25,75.71,44.08,58.06
2020,412000,chandler,62.49,60.04,55.32,53.63,67.8,63.31,37.31,,84.58,67.5,,47.03,69.22,67.78,60.8,55.49,49.12,39.99,47.09,61.22,72.53,76.99,51.94,60.98
2021,412000,chandler,64.0,62.0,57.93,56.37,67.92,66.37,37.17,47.08,75.55,68.16,,53.15,70.13,68.41,64.13,55.48,55.62,44.73,51.85,59.4,70.3,77.71,55.62,64.14
2022,412000,chandler,62.71,58.98,56.67,54.52,66.04,66.1,37.2,46.21,77.58,67.85,81.14,51.25,68.51,68.01,62.91,55.12,53.18,44.15,48.34,62.15,72.61,75.12,54.79,62.85
2023,412000,chandler,63.8,59.2,59.42,54.49,67.27,65.42,37.75,45.57,78.49,67.53,80.09,52.84,70.4,67.84,61.29,56.88,54.74,45.2,52.68,64.3,73.0,74.5,54.65,63.23
2013,423620,flagstaff,,,,,,,,,,,,,,,,,,,,,,,,
2014,423620,flagstaff,,,,47.0,,58.0,,,76.0,63.0,,,66.0,,57.0,54.0,,42.0,,,74.0,,48.0,60.0
2015,423620,flagstaff,,,,49.615,,63.08,,,79.61,67.85499999999999,,,69.155,,60.285,55.5,,42.91,,,74.25,,49.73,61.785
2016,423620,flagstaff,,,,52.23,,68.16,39.94,,83.22,72.71,,,72.31,71.17,63.57,57.0,,43.82,,,74.5,82.71,51.46,63.57
2017,423620,flagstaff,,,,52.915,,67.72999999999999,40.76,,84.305,72.71,,,72.61,71.91,64.26,58.845,,44.85,,,75.97,83.07,52.35,65.075
2018,423620,flagstaff,59.82,68.76,64.9,53.6,72.87,67.3,41.58,,85.39,72.71,,55.13,72.91,72.65,64.95,60.69,59.14,45.88,,65.6,77.44,83.43,53.24,66.58
2019,423620,flagstaff,56.83,66.66,63.41,54.67,73.02,66.97,39.53,,83.29,69.84,,56.71,68.33,71.13,63.54,57.85,58.65,47.33,,67.54,72.58,81.03,49.53,65.3
2020,423620,flagstaff,63.66,67.19,61.62,58.24,74.23,68.82,39.33,,86.9,71.89,,52.2,72.08,72.9,66.53,60.61,54.9,47.41,51.25,68.44,75.68,80.74,58.49,67.36
2021,423620,flagstaff,65.95,68.87,62.55,63.16,73.48,71.45,42.06,52.68,78.81,71.08,,54.73,73.43,72.49,68.5,58.97,58.13,51.76,55.6,64.26,72.64,77.39,61.79,69.54
2022,423620,flagstaff,61.58,63.61,57.68,58.7,69.28,69.68,37.78,49.7,80.7,68.94,79.74,50.14,70.66,69.59,64.78,57.13,53.73,47.36,47.95,63.53,73.74,74.2,57.85,64.44
2023,423620,flagstaff,62.56,63.55,61.13,58.89,70.86,68.6,38.58,49.25,81.41,68.27,78.71,51.16,73.1,69.16,63.08,59.31,55.92,47.88,51.97,66.25,74.44,72.93,57.92,65.28
2013,427400,gilbert,,,,,,,,,,,,,,,,,,,,,,,,
2014,427400,gilbert,,,,43.0,,55.0,,,78.0,61.0,,,64.0,,53.0,45.0,,37.0,,,75.0,,44.0,54.0
2015,427400,gilbert,,,,45.97,,58.69,,,79.75,64.63,,,66.565,,55.535,48.535,,37.96,,,74.11500000000001,,46.565,55.575
2016,427400,gilbert,,,,48.94,,62.38,35.4,,81.5,68.26,,,69.13,66.52,58.07,52.07,,38.92,,,73.23,78.96,49.13,57.15
2017,427400,gilbert,,,,48.765,,61.705,36.735,,82.845,67.74000000000001,,,68.78999999999999,66.88499999999999,58.325,53.49,,38.5,,,74.53,78.695,48.5,58.23
2018,427400,gilbert,61.07,63.38,59.65,48.59,67.15,61.03,38.07,,84.19,67.22,,51.69,68.45,67.25,58.58,54.91,55.43,38.08,,62.04,75.83,78.43,47.87,59.31
2019,427400,gilbert,58.22,61.35,57.16,50.58,67.85,60.63,37.97,,82.1,64.41,,51.09,64.97,64.85,57.05,51.06,52.98,39.79,,59.68,71.25,75.71,44.08,58.06
2020,427400,gilbert,62.49,60.04,55.32,53.63,67.8,63.31,37.31,,84.58,67.5,,47.03,69.22,67.78,60.8,55.49,49.12,39.99,47.09,61.22,72.53,76.99,51.94,60.98
2021,427400,gilbert,64.0,62.0,57.93,56.37,67.92,66.37,37.17,47.08,75.55,68.16,,53.15,70.13,68.41,64.13,55.48,55.62,44.73,51.85,59.4,70.3,77.71,55.62,64.14
2022,427400,gilbert,62.71,58.98,56.67,54.52,66.04,66.1,37.2,46.21,77.58,67.85,81.14,51.25,68.51,68.01,62.91,55.12,53.18,44.15,48.34,62.15,72.61,75.12,54.79,62.85
2023,427400,gilbert,63.8,59.2,59.42,54.49,67.27,65.42,37.75,45.57,78.49,67.53,80.09,52.84,70.4,67.84,61.29,56.88,54.74,45.2,52.68,64.3,73.0,74.5,54.65,63.23
2013,427820,glendale,,,,,,,,,,,,,,,,,,,,,,,,
2014,427820,glendale,,,,43.0,,55.0,,,78.0,61.0,,,64.0,,53.0,45.0,,37.0,,,75.0,,44.0,54.0
2015,427820,glendale,,,,45.97,,58.69,,,79.75,64.63,,,66.565,,55.535,48.535,,37.96,,,74.11500000000001,,46.565,55.575
2016,427820,glendale,,,,48.94,,62.38,35.4,,81.5,68.26,,,69.13,66.52,58.07,52.07,,38.92,,,73.23,78.96,49.13,57.15
2017,427820,glendale,,,,48.765,,61.705,36.735,,82.845,67.74000000000001,,,68.78999999999999,66.88499999999999,58.325,53.49,,38.5,,,74.53,78.695,48.5,58.23
2018,427820,glendale,61.07,63.38,59.65,48.59,67.15,61.03,38.07,,84.19,67.22,,51.69,68.45,67.25,58.58,54.91,55.43,38.08,,62.04,75.83,78.43,47.87,59.31
2019,427820,glendale,58.22,61.35,57.16,50.58,67.85,60.63,37.97,,82.1,64.41,,51.09,64.97,64.85,57.05,51.06,52.98,39.79,,59.68,71.25,75.71,44.08,58.06
2020,427820,glendale,62.49,60.04,55.32,53.63,67.8,63.31,37.31,,84.58,67.5,,47.03,69.22,67.78,60.8,55.49,49.12,39.99,47.09,61.22,72.53,76.99,51.94,60.98
2021,427820,glendale,64.0,62.0,57.93,56.37,67.92,66.37,37.17,47.08,75.55,68.16,,53.15,70.13,68.41,64.13,55.48,55.62,44.73,51.85,59.4,70.3,77.71,55.62,64.14
2022,427820,glendale,62.71,58.98,56.67,54.52,66.04,66.1,37.2,46.21,77.58,67.85,81.14,51.25,68.51,68.01,62.91,55.12,53.18,44.15,48.34,62.15,72.61,75.12,54.79,62.85
2023,427820,glendale,63.8,59.2,59.42,54.49,67.27,65.42,37.75,45.57,78.49,67.53,80.09,52.84,70.4,67.84,61.29,56.88,54.74,45.2,52.68,64.3,73.0,74.5,54.65,63.23
2013,439370,lake havasu city,,,,,,,,,,,,,,,,,,,,,,,,
2014,439370,lake havasu city,,,,35.0,,47.0,,,75.0,55.0,,,57.0,,47.0,43.0,,32.0,,,70.0,,39.0,47.0
2015,439370,lake havasu city,,,,37.17,,50.83,,,77.375,58.04,,,59.155,,49.23,44.29,,33.43,,,69.225,,41.61,47.84
2016,439370,lake havasu city,,,,39.34,,54.66,31.45,,79.75,61.08,,,61.31,60.36,51.46,45.58,,34.86,,,68.45,70.46,44.22,48.68
